corpus	doc	classify_exit	classify_code	extract_exit	extract_code	extract_message	pages_authorized	pages_processed	pages_failed	pages_unsupported	pages_quarantined	pages_not_attempted	terminal	limitation_codes	artifact_bytes	extract_wall_s
gate	irs-f1040sd-2025.pdf	0		0			2	2	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;stroke-ruled-table-candidate-refused;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;xfa-forms-not-extracted	670536	0.024
gate	irs-fw9.pdf	1		0			6	6	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;xfa-forms-not-extracted	836259	0.028
gate	nist-sp-800-161r1.pdf	1		0			327	327	0	0	0	0	complete	backend-xref-strict-20-byte;broken-font-encoding;composite-font-codes-from-tounicode;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;structure-item-without-content;structure-mcid-unbound;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused	284841338	3.656
gate	nist-sp-800-171r3.pdf	1		0			120	120	0	0	0	0	complete	backend-xref-strict-20-byte;broken-font-encoding;composite-font-codes-from-tounicode;form-xobject-text-not-descended;form-xobjects-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;structure-item-without-content;structure-mcid-unbound;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused	85940720	1.121
gate	nist-sp-800-207.pdf	1		0			59	59	0	0	0	0	complete	backend-xref-strict-20-byte;broken-font-encoding;composite-font-codes-from-tounicode;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;structure-item-without-content;structure-mcid-unbound;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused	44743808	0.585
gate	nist-sp-800-218.pdf	1		0			36	36	0	0	0	0	complete	backend-xref-strict-20-byte;broken-font-encoding;composite-font-codes-from-tounicode;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;structure-item-without-content;structure-mcid-unbound;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused	30120253	0.404
gate	nist-sp-800-37r2.pdf	1		0			183	183	0	0	0	0	complete	backend-xref-strict-20-byte;broken-font-encoding;composite-font-codes-from-tounicode;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;structure-item-without-content;structure-mcid-unbound;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused	217817912	2.794
gate	nist-sp-800-53Ar5.pdf	1		0			733	733	0	0	0	0	complete	backend-xref-strict-20-byte;broken-font-encoding;composite-font-codes-from-tounicode;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;structure-item-without-content;structure-mcid-unbound;tagged-table-without-geometric-table;undrawn-table-edges-not-supplied;unruled-table-candidate-refused	996675602	12.332
engine	absent-font-metrics/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	11841	0.016
engine	absent-font-widths/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;font-widths-absent;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	12438	0.016
