corpus	doc	bytes	encrypted	needs_secret	enc_method	enc_r	pages	page_cs	resource_cs	image_cs	patterns	shadings
gate	irs-f1040sd-2025.pdf	97968	0	0			2				0	0
gate	irs-fw9.pdf	140815	0	0			6				0	0
gate	nist-sp-800-161r1.pdf	4845469	0	0			327	ICCBased=408;Indexed:ICCBased=29	ICCBased=408;Indexed:ICCBased=29	DeviceGray=72;DeviceRGB=1;ICCBased=3;Indexed:ICCBased=69	0	0
gate	nist-sp-800-171r3.pdf	1593213	0	0			120	Indexed:DeviceRGB=2	Indexed:DeviceRGB=2	DeviceGray=44;DeviceRGB=1;Indexed:DeviceRGB=43	0	0
gate	nist-sp-800-207.pdf	966908	0	0			59	ICCBased=73;Indexed:ICCBased=9	ICCBased=73;Indexed:ICCBased=9	DeviceGray=6;ICCBased=3;Indexed:ICCBased=9	0	0
gate	nist-sp-800-218.pdf	739891	0	0			36	ICCBased=65;Indexed:ICCBased=4	ICCBased=65;Indexed:ICCBased=4	DeviceGray=6;Indexed:ICCBased=6	0	0
gate	nist-sp-800-37r2.pdf	2270327	0	0			183	ICCBased=341;Indexed:ICCBased=196	ICCBased=341;Indexed:ICCBased=196	DeviceGray=68;ICCBased=7;Indexed:ICCBased=62	0	2
gate	nist-sp-800-53Ar5.pdf	7469808	0	0			733	ICCBased=805;Indexed:ICCBased=1	ICCBased=164;Indexed:ICCBased=1	DeviceGray=2;ICCBased=1;Indexed:ICCBased=1	0	3
engine	absent-font-metrics/document.pdf	1170	0	0			1				0	0
engine	absent-font-widths/document.pdf	625	0	0			1				0	0
engine	annotation-contents/document.pdf	1389	0	0			1				0	0
engine	background-panel-not-a-grid/document.pdf	1175	0	0			1				0	0
engine	both-table-rules/document.pdf	1300	0	0			1				0	0
engine	broken-font-encoding/document.pdf	1192	0	0			1				0	0
engine	composite-font-cid-widths/document.pdf	1394	0	0			1				0	0
engine	composite-font-non-identity-cmap/document.pdf	1397	0	0			1				0	0
engine	crop-box-smaller-than-media/document.pdf	1264	0	0			1				0	0
engine	form-field-value/document.pdf	1297	0	0			1				0	0
engine	form-orphan-widget/document.pdf	1287	0	0			1				0	0
engine	form-xfa-stub/document.pdf	1390	0	0			1				0	0
engine	form-xobject-text-drawn/document.pdf	1328	0	0			1				0	0
engine	horizontal-scaling-tz/document.pdf	1072	0	0			1				0	0
engine	image-declared-not-drawn/document.pdf	1261	0	0			1			DeviceGray=1	0	0
engine	image-xobject-drawn/document.pdf	1298	0	0			1			DeviceGray=1	0	0
engine	ink-past-the-media-box/document.pdf	1280	0	0			1				0	0
engine	invisible-render-mode/document.pdf	1132	0	0			1				0	0
engine	markdown-hyphen-break/document.pdf	1291	0	0			1				0	0
