# floor.py — ethos-parser 0.58.0 — binary /Users/saumildiwaker/Desktop/Stuff/project/repo/ethos-parser/target/aarch64-apple-darwin/release/ethos-parser
# started 2026-09-16 20:09:41 +0530, 49 s; load average at start (2.25537109375, 3.7509765625, 3.5478515625), at end (2.66845703125, 3.64501953125, 3.51953125)
# rss and footprint are bytes from `/usr/bin/time -l`; wall_micros is the engine's own diagnostics line; the full-size-pass row's sink is a pipe, every other row's is /dev/null or a scratch file
# fixture	mode	budget	run	pages	wall_micros	peak_rss_bytes	peak_footprint_bytes	artifact_bytes	exit
irs-f1040sd-2025	classify	-	1	-	4956	8060928	6455632	-	0
irs-f1040sd-2025	classify	-	2	-	3926	8060928	6455632	-	0
irs-f1040sd-2025	classify	-	3	-	3800	7979008	6373712	-	0
irs-f1040sd-2025	max0	0	1	2	3296	6750208	4931944	-	0
irs-f1040sd-2025	max0	0	2	2	3179	6799360	4981096	-	0
irs-f1040sd-2025	max0	0	3	2	3319	6864896	5046632	-	0
irs-f1040sd-2025	full	-	1	2	15051	14155776	11420032	-	0
irs-f1040sd-2025	full-size-pass	-	2	2	15154	14106624	11370880	670536	0
irs-fw9	classify	-	1	-	6101	7782400	6177104	-	1
irs-fw9	classify	-	2	-	4637	7716864	6111568	-	1
irs-fw9	classify	-	3	-	4603	7716864	6111568	-	1
irs-fw9	max0	0	1	6	3963	7553024	5734760	-	0
irs-fw9	max0	0	2	6	3879	7569408	5751144	-	0
irs-fw9	max0	0	3	6	3904	7553024	5734760	-	0
irs-fw9	full	-	1	6	17512	18939904	16187776	-	0
irs-fw9	full-size-pass	-	2	6	17831	18317312	15565184	836259	0
nist-sp-800-161r1	classify	-	1	-	61103	71548928	69992832	-	1
nist-sp-800-161r1	classify	-	2	-	55108	71532544	69992856	-	1
nist-sp-800-161r1	classify	-	3	-	55541	71499776	69960088	-	1
nist-sp-800-161r1	max0	0	1	327	64186	67534848	65814960	-	0
nist-sp-800-161r1	max0	0	2	327	65267	67665920	65946032	-	0
nist-sp-800-161r1	max0	0	3	327	65472	67354624	65618328	-	0
